x (m)	y (m)	yn (m)	yc (m)	z (m)
238.0000	239.6542	1.2000	0.9000	0.2380
239.0000	240.6542	1.2000	0.9000	0.2390
240.0000	241.6542	1.2000	0.9000	0.2400
241.0000	242.6542	1.2000	0.9000	0.2410
242.0000	243.6542	1.2000	0.9000	0.2420
243.0000	244.6542	1.2000	0.9000	0.2430
244.0000	245.6542	1.2000	0.9000	0.2440
245.0000	246.6542	1.2000	0.9000	0.2450
246.0000	247.6542	1.2000	0.9000	0.2460
247.0000	248.6542	1.2000	0.9000	0.2470
248.0000	249.6542	1.2000	0.9000	0.2480
249.0000	250.6542	1.2000	0.9000	0.2490
250.0000	251.6542	1.2000	0.9000	0.2500
251.0000	252.6542	1.2000	0.9000	0.2510
252.0000	253.6542	1.2000	0.9000	0.2520
253.0000	254.6542	1.2000	0.9000	0.2530
254.0000	255.6542	1.2000	0.9000	0.2540
255.0000	256.6542	1.2000	0.9000	0.2550
256.0000	257.6542	1.2000	0.9000	0.2560
257.0000	258.6542	1.2000	0.9000	0.2570
258.0000	259.6542	1.2000	0.9000	0.2580
259.0000	260.6542	1.2000	0.9000	0.2590
260.0000	261.6542	1.2000	0.9000	0.2600
261.0000	262.6542	1.2000	0.9000	0.2610
262.0000	263.6542	1.2000	0.9000	0.2620
263.0000	264.6542	1.2000	0.9000	0.2630
264.0000	265.6542	1.2000	0.9000	0.2640
265.0000	266.6542	1.2000	0.9000	0.2650
266.0000	267.6542	1.2000	0.9000	0.2660
267.0000	268.6542	1.2000	0.9000	0.2670
268.0000	269.6542	1.2000	0.9000	0.2680
269.0000	270.6542	1.2000	0.9000	0.2690
270.0000	271.6542	1.2000	0.9000	0.2700
271.0000	272.6542	1.2000	0.9000	0.2710
272.0000	273.6542	1.2000	0.9000	0.2720
273.0000	274.6542	1.2000	0.9000	0.2730
274.0000	275.6542	1.2000	0.9000	0.2740
275.0000	276.6542	1.2000	0.9000	0.2750
276.0000	277.6542	1.2000	0.9000	0.2760
277.0000	278.6542	1.2000	0.9000	0.2770
278.0000	279.6542	1.2000	0.9000	0.2780
279.0000	280.6542	1.2000	0.9000	0.2790
280.0000	281.6542	1.2000	0.9000	0.2800
281.0000	282.6542	1.2000	0.9000	0.2810
282.0000	283.6542	1.2000	0.9000	0.2820
283.0000	284.6542	1.2000	0.9000	0.2830
284.0000	285.6542	1.2000	0.9000	0.2840
285.0000	286.6542	1.2000	0.9000	0.2850
286.0000	287.6542	1.2000	0.9000	0.2860
287.0000	288.6542	1.2000	0.9000	0.2870
288.0000	289.6542	1.2000	0.9000	0.2880
289.0000	290.6542	1.2000	0.9000	0.2890
290.0000	291.6542	1.2000	0.9000	0.2900
291.0000	292.6542	1.2000	0.9000	0.2910
292.0000	293.6542	1.2000	0.9000	0.2920
293.0000	294.6542	1.2000	0.9000	0.2930
294.0000	295.6542	1.2000	0.9000	0.2940
295.0000	296.6542	1.2000	0.9000	0.2950
296.0000	297.6542	1.2000	0.9000	0.2960
297.0000	298.6542	1.2000	0.9000	0.2970
298.0000	299.6542	1.2000	0.9000	0.2980
299.0000	300.6542	1.2000	0.9000	0.2990
300.0000	301.6542	1.2000	0.9000	0.3000
301.0000	302.6542	1.2000	0.9000	0.3010
302.0000	303.6542	1.2000	0.9000	0.3020
303.0000	304.6542	1.2000	0.9000	0.3030
304.0000	305.6542	1.2000	0.9000	0.3040
305.0000	306.6542	1.2000	0.9000	0.3050
306.0000	307.6542	1.2000	0.9000	0.3060
307.0000	308.6542	1.2000	0.9000	0.3070
308.0000	309.6542	1.2000	0.9000	0.3080
309.0000	310.6542	1.2000	0.9000	0.3090
310.0000	311.6542	1.2000	0.9000	0.3100
311.0000	312.6542	1.2000	0.9000	0.3110
312.0000	313.6542	1.2000	0.9000	0.3120
313.0000	314.6542	1.2000	0.9000	0.3130
314.0000	315.6542	1.2000	0.9000	0.3140
315.0000	316.6542	1.2000	0.9000	0.3150
316.0000	317.6542	1.2000	0.9000	0.3160
317.0000	318.6542	1.2000	0.9000	0.3170
318.0000	319.6542	1.2000	0.9000	0.3180
319.0000	320.6542	1.2000	0.9000	0.3190
320.0000	321.6542	1.2000	0.9000	0.3200
321.0000	322.6542	1.2000	0.9000	0.3210
322.0000	323.6542	1.2000	0.9000	0.3220
323.0000	324.6542	1.2000	0.9000	0.3230
324.0000	325.6542	1.2000	0.9000	0.3240
325.0000	326.6542	1.2000	0.9000	0.3250
326.0000	327.6542	1.2000	0.9000	0.3260
327.0000	328.6542	1.2000	0.9000	0.3270
328.0000	329.6542	1.2000	0.9000	0.3280
329.0000	330.6542	1.2000	0.9000	0.3290
330.0000	331.6542	1.2000	0.9000	0.3300
331.0000	332.6542	1.2000	0.9000	0.3310
332.0000	333.6542	1.2000	0.9000	0.3320
333.0000	334.6542	1.2000	0.9000	0.3330
334.0000	335.6542	1.2000	0.9000	0.3340
335.0000	336.6542	1.2000	0.9000	0.3350
336.0000	337.6542	1.2000	0.9000	0.3360
337.0000	338.6542	1.2000	0.9000	0.3370
338.0000	339.6542	1.2000	0.9000	0.3380
339.0000	340.6542	1.2000	0.9000	0.3390
340.0000	341.6542	1.2000	0.9000	0.3400
341.0000	342.6542	1.2000	0.9000	0.3410
342.0000	343.6542	1.2000	0.9000	0.3420
343.0000	344.6542	1.2000	0.9000	0.3430
344.0000	345.6542	1.2000	0.9000	0.3440
345.0000	346.6542	1.2000	0.9000	0.3450
346.0000	347.6542	1.2000	0.9000	0.3460
347.0000	348.6542	1.2000	0.9000	0.3470
348.0000	349.6542	1.2000	0.9000	0.3480
349.0000	350.6542	1.2000	0.9000	0.3490
350.0000	351.6542	1.2000	0.9000	0.3500
351.0000	352.6542	1.2000	0.9000	0.3510
352.0000	353.6542	1.2000	0.9000	0.3520
353.0000	354.6542	1.2000	0.9000	0.3530
354.0000	355.6542	1.2000	0.9000	0.3540
355.0000	356.6542	1.2000	0.9000	0.3550
356.0000	357.6542	1.2000	0.9000	0.3560
357.0000	358.6542	1.2000	0.9000	0.3570
358.0000	359.6542	1.2000	0.9000	0.3580
359.0000	360.6542	1.2000	0.9000	0.3590
360.0000	361.6542	1.2000	0.9000	0.3600
361.0000	362.6542	1.2000	0.9000	0.3610
362.0000	363.6542	1.2000	0.9000	0.3620
363.0000	364.6542	1.2000	0.9000	0.3630
364.0000	365.6542	1.2000	0.9000	0.3640
365.0000	366.6542	1.2000	0.9000	0.3650
366.0000	367.6542	1.2000	0.9000	0.3660
367.0000	368.6542	1.2000	0.9000	0.3670
368.0000	369.6542	1.2000	0.9000	0.3680
369.0000	370.6542	1.2000	0.9000	0.3690
